comment_id,author,text,published_at
UgwN4fmZjdM76npR02x4AaABAg,@conorm4830,ive been hunted by men for sport,2025-01-30T23:53:09Z
UgwesuD3Nt1evz7YNa94AaABAg,@ZaneAguiar-c8y,I have been hunted by Ben for sport. I felt like an animal. Do no recommend. 0/10,2025-01-30T04:55:28Z
UgzQe2XJgp3EBSEgYGx4AaABAg,@greenception,"0:42 UK ? Really 😂 Some miss editing. Not that bad for the content but could be a casus belli for sure between France and England.
I used to work at Charleville-Mézière 4 years ago.",2025-01-28T11:50:09Z
UgxchIMFMZ6IC6UXy4d4AaABAg,@vital1114,"""danny ricardo"" does sound like a made up ass name",2025-01-27T23:13:45Z
UgzsHba10Osi4bbrsfR4AaABAg,@peskybirb7217,Is that Daniel Ricciardo from the hit F1 team fired? The same person who beat Max Verstappen in equal machinery and then threw away his career?,2025-01-25T16:23:14Z
UgymEMZaDKDDoSbwHlR4AaABAg,@D6M2024,Someone in 2025😢,2025-01-23T19:04:33Z
UgxP3wWBVNNJ_ZXMvE54AaABAg,@OppressorOfRīga,I'm being hunted help,2025-01-15T12:41:06Z
UgwUZV2aKpVkHMQ6vXV4AaABAg,@bcb2294,Anyone watching again in 2025?,2025-01-09T10:06:31Z
Ugw08zFMWZAEyrrcfi14AaABAg,@Marihl1354,I've been going in reverse. S3 S2 and now s1.,2025-01-08T07:29:30Z
UgxvRnFUxBYQLTZ4aBd4AaABAg,@jypsridic,"Tag 4 starts at the corner between Belarus, Russia and Ukraine. Jet Lag XTREME!!

This comment inspired by hearing the name Hirson.",2025-01-07T14:29:44Z
Ugz4UC7ZKo39htS3_1t4AaABAg,@robertqbkilla,Keanu reaves stairs😂,2025-01-07T11:48:11Z
UgzZxLMoGFlWjIlYxrJ4AaABAg,@chas3222,"Always wondered how they make wind.. 
What?",2025-01-06T05:05:43Z
Ugyu54eFPd7ap9fZ2YZ4AaABAg,@LucaVenn-h2c,I think Ben and Adam r gay,2025-01-06T03:27:42Z
