comment_id,author,text,published_at,cleaned_comment,sentiment,sentiment_category,tokens,topic
UgwN4fmZjdM76npR02x4AaABAg,@conorm4830,ive been hunted by men for sport,2025-01-30T23:53:09Z,ive been hunted by men for sport,0.0,Neutral,"['hunt', 'man', 'sport']",0
UgwesuD3Nt1evz7YNa94AaABAg,@ZaneAguiar-c8y,I have been hunted by Ben for sport. I felt like an animal. Do no recommend. 0/10,2025-01-30T04:55:28Z,i have been hunted by ben for sport i felt like an animal do no recommend 0 10,0.0,Neutral,"['hunt', 'ben', 'sport', 'feel', 'like', 'animal', 'recommend']",2
UgzQe2XJgp3EBSEgYGx4AaABAg,@greenception,"0:42 UK ? Really 😂 Some miss editing. Not that bad for the content but could be a casus belli for sure between France and England.
I used to work at Charleville-Mézière 4 years ago.",2025-01-28T11:50:09Z,0 42 uk really some miss editing not that bad for the content but could be a casus belli for sure between france and england i used to work at charleville mézière 4 years ago,5.551115123125783e-17,Positive,"['uk', 'really', 'miss', 'edit', 'bad', 'content', 'could', 'casus', 'belli', 'sure', 'france', 'england', 'use', 'work', 'charleville', 'mézière', 'year', 'ago']",1
UgxchIMFMZ6IC6UXy4d4AaABAg,@vital1114,"""danny ricardo"" does sound like a made up ass name",2025-01-27T23:13:45Z,danny ricardo does sound like a made up ass name,0.4,Positive,"['danny', 'ricardo', 'sound', 'like', 'make', 'ass', 'name']",3
UgzsHba10Osi4bbrsfR4AaABAg,@peskybirb7217,Is that Daniel Ricciardo from the hit F1 team fired? The same person who beat Max Verstappen in equal machinery and then threw away his career?,2025-01-25T16:23:14Z,is that daniel ricciardo from the hit f1 team fired the same person who beat max verstappen in equal machinery and then threw away his career,0.0,Neutral,"['daniel', 'ricciardo', 'hit', 'team', 'fire', 'person', 'beat', 'max', 'verstappen', 'equal', 'machinery', 'throw', 'away', 'career']",1
UgymEMZaDKDDoSbwHlR4AaABAg,@D6M2024,Someone in 2025😢,2025-01-23T19:04:33Z,someone in 2025,0.0,Neutral,['someone'],1
UgxP3wWBVNNJ_ZXMvE54AaABAg,@OppressorOfRīga,I'm being hunted help,2025-01-15T12:41:06Z,i m being hunted help,0.0,Neutral,"['hunt', 'help']",0
UgwUZV2aKpVkHMQ6vXV4AaABAg,@bcb2294,Anyone watching again in 2025?,2025-01-09T10:06:31Z,anyone watching again in 2025,0.0,Neutral,"['anyone', 'watch']",2
Ugw08zFMWZAEyrrcfi14AaABAg,@Marihl1354,I've been going in reverse. S3 S2 and now s1.,2025-01-08T07:29:30Z,i ve been going in reverse s3 s2 and now s1,0.0,Neutral,"['go', 'reverse']",1
UgxvRnFUxBYQLTZ4aBd4AaABAg,@jypsridic,"Tag 4 starts at the corner between Belarus, Russia and Ukraine. Jet Lag XTREME!!

This comment inspired by hearing the name Hirson.",2025-01-07T14:29:44Z,tag 4 starts at the corner between belarus russia and ukraine jet lag xtreme this comment inspired by hearing the name hirson,0.0,Neutral,"['tag', 'start', 'corner', 'belarus', 'russia', 'ukraine', 'jet', 'lag', 'xtreme', 'comment', 'inspire', 'hear', 'name', 'hirson']",3
Ugz4UC7ZKo39htS3_1t4AaABAg,@robertqbkilla,Keanu reaves stairs😂,2025-01-07T11:48:11Z,keanu reaves stairs,0.0,Neutral,"['keanu', 'reave', 'stair']",0
UgzZxLMoGFlWjIlYxrJ4AaABAg,@chas3222,"Always wondered how they make wind.. 
What?",2025-01-06T05:05:43Z,always wondered how they make wind what,0.0,Neutral,"['always', 'wonder', 'make', 'wind']",3
Ugyu54eFPd7ap9fZ2YZ4AaABAg,@LucaVenn-h2c,I think Ben and Adam r gay,2025-01-06T03:27:42Z,i think ben and adam r gay,0.4166666666666667,Positive,"['think', 'ben', 'adam', 'r', 'gay']",0
UgyHJKVHDAzqvNe9eNh4AaABAg,@shreyasjuloori3147,w series,2025-01-05T15:03:40Z,w series,0.0,Neutral,"['w', 'series']",2
