comment_id,author,text,published_at
Ugz6iHOAjsa7MjHwPXx4AaABAg,@nathanashley3693,I love brawl stars,2021-11-25T18:53:11Z
UgzCgv9xsGPW5KiI8KN4AaABAg,@tccning,MR BEAST ESTA JODIDAMENTE LOCOOO!!! 🤩🔥,2021-11-25T18:53:07Z
UgwITi0bVGAw45q6a414AaABAg,@ajolotitopawa3121,Gracias por dar regalos en Brawl stars,2021-11-25T18:53:07Z
UgzkY5vNdXgkYUAyu2B4AaABAg,@donatoarmani,SALUDOS A RUBIUS PORQUE ESTA REACCIONANDO A ESTO,2021-11-25T18:53:06Z
UgzrvQ7o6OBDEAqc4mh4AaABAg,@football_world3501,Thats a Rlly good Game,2021-11-25T18:53:06Z
UgxZWwFlRuDULd53iPZ4AaABAg,@michellegentilozzi6268,All fun and games 'till he begins executing people,2021-11-25T18:53:05Z
Ugx9DwEEtDEU76WQRo14AaABAg,@FIREWALL77,I've been subbed for a long time,2021-11-25T18:53:05Z
UgxCOHSv-ZdbgHRwoE94AaABAg,@selfmadecali,You had me subscribe years ago and never hooked me up fam 💯,2021-11-25T18:53:03Z
UgxrMqzLP_MarKQuAXl4AaABAg,@ALAN-nr2ps,very cool what you are mr beast,2021-11-25T18:53:02Z
UgxRFhRCjColwfxk7UF4AaABAg,@roploli6370,Really wow i wanna try😢,2021-11-25T18:53:01Z
UgzR3ABWwxoMw2LzuHZ4AaABAg,@borismazabel2960,a ver si ganamos esos 10k jajaj 😁,2021-11-25T18:53:01Z
UgwmNTVzrPgkWoM7Yxl4AaABAg,@rallyglobal6973,I'm wait this in a Russia channel!,2021-11-25T18:52:58Z
UgwIE8Fo0rxRDzF_lVd4AaABAg,@joecita51,Can I join the game  please.,2021-11-25T18:52:57Z
Ugzs2eI_jHXpYAlWuCN4AaABAg,@nimrodcyst4670,"13:16 hey, space muncher where is my 10,000?",2021-11-25T18:52:56Z
UgzjI5m1hsLcRTWwXEF4AaABAg,@betaSandhu,"I could really use those 10,000 dollars :)",2021-11-25T18:52:56Z
Ugzz1Q4t_pg2yMky7bZ4AaABAg,@krewrainbow1216,I subscribed and liked,2021-11-25T18:52:56Z
Ugxe2uRJnPo7VTGziPJ4AaABAg,@zayzayac5933,IVE BEEN WAITING FOR THIS,2021-11-25T18:52:55Z
UgyQ80qVk3o1eknMI8F4AaABAg,@ST4Z1,I been playing brawl star for 40 days,2021-11-25T18:52:53Z
Ugxu0hsZKugieMNImCB4AaABAg,@brian.232,Now this 067 is the right one to simp for,2021-11-25T18:52:52Z
Ugx6YpyAERthFkztiO14AaABAg,@siyatiwari6850,Woowwwww spot on.....,2021-11-25T18:52:51Z
UgzmMcL1yaC4uYly3uF4AaABAg,@Abbottiger,FLAMINGO,2021-11-25T18:52:50Z
