comment_id,author,text,published_at,cleaned_comment,sentiment,sentiment_category,tokens,topic
Ugz6iHOAjsa7MjHwPXx4AaABAg,@nathanashley3693,I love brawl stars,2021-11-25T18:53:11Z,i love brawl stars,0.5,Positive,"['love', 'brawl', 'star']",1
UgzCgv9xsGPW5KiI8KN4AaABAg,@tccning,MR BEAST ESTA JODIDAMENTE LOCOOO!!! 🤩🔥,2021-11-25T18:53:07Z,mr beast esta jodidamente locooo,0.0,Neutral,"['mr', 'beast', 'esta', 'jodidamente', 'locooo']",2
UgwITi0bVGAw45q6a414AaABAg,@ajolotitopawa3121,Gracias por dar regalos en Brawl stars,2021-11-25T18:53:07Z,gracias por dar regalos en brawl stars,0.0,Neutral,"['gracias', 'por', 'dar', 'regalos', 'en', 'brawl', 'star']",1
UgzkY5vNdXgkYUAyu2B4AaABAg,@donatoarmani,SALUDOS A RUBIUS PORQUE ESTA REACCIONANDO A ESTO,2021-11-25T18:53:06Z,saludos a rubius porque esta reaccionando a esto,0.0,Neutral,"['saludo', 'rubius', 'porque', 'esta', 'reaccionando', 'esto']",2
UgzrvQ7o6OBDEAqc4mh4AaABAg,@football_world3501,Thats a Rlly good Game,2021-11-25T18:53:06Z,thats a rlly good game,0.14999999999999997,Positive,"['rlly', 'good', 'game']",3
UgxZWwFlRuDULd53iPZ4AaABAg,@michellegentilozzi6268,All fun and games 'till he begins executing people,2021-11-25T18:53:05Z,all fun and games till he begins executing people,0.3,Positive,"['fun', 'game', 'till', 'begin', 'execute', 'people']",1
Ugx9DwEEtDEU76WQRo14AaABAg,@FIREWALL77,I've been subbed for a long time,2021-11-25T18:53:05Z,i ve been subbed for a long time,-0.05,Negative,"['sub', 'long', 'time']",2
UgxCOHSv-ZdbgHRwoE94AaABAg,@selfmadecali,You had me subscribe years ago and never hooked me up fam 💯,2021-11-25T18:53:03Z,you had me subscribe years ago and never hooked me up fam,0.0,Neutral,"['subscribe', 'year', 'ago', 'never', 'hook', 'fam']",3
UgxrMqzLP_MarKQuAXl4AaABAg,@ALAN-nr2ps,very cool what you are mr beast,2021-11-25T18:53:02Z,very cool what you are mr beast,0.45499999999999996,Positive,"['cool', 'mr', 'beast']",0
UgxRFhRCjColwfxk7UF4AaABAg,@roploli6370,Really wow i wanna try😢,2021-11-25T18:53:01Z,really wow i wanna try,0.1,Positive,"['really', 'wow', 'wanna', 'try']",1
